AccentCity,Population,Latitude,Longitude
Kaufbeuren,43454.0,47.883333,10.616667
Kaufungen,12804.0,51.281110999999996,9.618611
Kehl,34493.0,48.583333,7.816667
Kelheim,16227.0,48.916667,11.866667
Kelkheim,26823.0,50.133333,8.45
Kelsterbach,14146.0,50.066666999999995,8.533333
Kempen,36506.0,51.366667,6.4166669999999995
Kempten,61800.0,47.716667,10.316667
Kerpen,64729.0,50.866667,6.7
Ketsch,12960.0,49.367778,8.531111
Kevelaer,28148.0,51.583333,6.25
Kiel,235264.0,54.333332999999996,10.133333
Kierspe,18281.0,51.133333,7.5833330000000005
Kirchen,9354.0,50.8,7.883333
Kirchhain,16432.0,50.816666999999995,8.966667
Kirchheim,40144.0,48.65,9.45
Kirchheim,11982.0,48.183333000000005,11.75
Kirchhundem,13059.0,51.1,8.1
Kirchlengern,16557.0,52.2,8.633333
Kirchlinteln,10644.0,52.95,9.316667
Kirchzarten,9575.0,47.966667,7.95
Kirkel,10509.0,49.283333,7.233333
Kirn,8879.0,49.783333,7.45
Kissing,11072.0,48.3,10.983333
Kitzingen,21705.0,49.733333,10.166667
Kleinblittersdorf,12940.0,49.15,7.033333
Kleinmachnow,18306.0,52.4,13.25
Klingenthal,8984.0,50.366667,12.466667
Koblenz,108146.0,50.35,7.6
Kolbermoor,18488.0,47.85,12.066667
Kolkwitz,10336.0,51.75,14.25
Konstanz,81951.0,47.666667,9.183333
Korbach,24657.0,51.283333,8.866667
Korb,10305.0,48.85,9.366667
Kornwestheim,30756.0,48.866667,9.183333
Korschenbroich,33588.0,51.183333000000005,6.516667
Krefeld,239908.0,51.333333,6.566667
Kreuzau,18670.0,50.75,6.483333
Kreuztal,31720.0,50.966667,7.983333
Kriftel,10590.0,50.083333,8.483333
Kronach,18349.0,50.233333,11.316667
Kronberg,17649.0,50.183333000000005,8.5
Kronshagen,11826.0,54.333332999999996,10.083333
Krumbach,12518.0,48.25,10.366667
Kulmbach,27346.0,50.1,11.45
Kyritz,11321.0,52.95,12.4
Laatzen,40245.0,52.316666999999995,9.8
Ladenburg,11621.0,49.475,8.606944
Lage,36709.0,51.983333,8.8
Lahnstein,18572.0,50.3,7.616667
Lahr,43676.0,48.35,7.866667
Lahstedt,10882.0,52.25,10.216667
Laichingen,11063.0,48.5,9.683333
Lampertheim,31873.0,49.601944,8.471944
Landau,13026.0,48.683333000000005,12.683333
Landau,42031.0,49.2075,8.113333
Landsberg,26624.0,48.05,10.866667
Landshut,61131.0,48.533333,12.15
